seed,turn,stage,candidates,action_index,action_desc,elapsed_us,score_breakdown
1001,0,Train,7,4,智训练,93,#0 133[速训练 失败率0% 属性+27 PT+8] | #1 58[耐训练 失败率0% 属性+16 PT+7] | #2 54[力训练 失败率0% 属性+16 PT+7] | #3 173[根训练 失败率0% 属性+23 PT+11] | #4 535[智训练 失败率0% 属性+23 PT+23] | #5 -154[休息] | #6 -185[普通外出]
1001,1,Train,7,0,速训练,28,#0 390[速训练 失败率0% 属性+45 PT+20] | #1 58[耐训练 失败率0% 属性+17 PT+7] | #2 289[力训练 失败率0% 属性+27 PT+15] | #3 209[根训练 失败率0% 属性+27 PT+13] | #4 125[智训练 失败率0% 属性+13 PT+7] | #5 -154[休息] | #6 -185[普通外出]
1001,2,RegionSelect,10,2,"地区[札幌-速,函馆-耐,东京-智]",19,"#0 1224[[0, 1, 2]] | #1 1224[[0, 1, 3]] | #2 1569[[0, 1, 4]] | #3 880[[0, 2, 3]] | #4 1224[[0, 2, 4]] | #5 1224[[0, 3, 4]] | #6 315[[1, 2, 3]] | #7 660[[1, 2, 4]] | #8 660[[1, 3, 4]] | #9 315[[2, 3, 4]]"
1001,2,RamenSelect,4,1,吃面/札幌-速,170,#0 0[不吃面] | #1 1613[吃面/札幌-速] | #2 1613[吃面/函馆-耐] | #3 1610[吃面/东京-智]
1001,2,SpecialSelect,9,0,吃面/札幌-速,25,"#0 18[隐藏方案[0, 0, 0] 后续可做0种] | #1 13[隐藏方案[0, 0, 1] 后续可做0种] | #2 13[隐藏方案[0, 1, 0] 后续可做0种] | #3 13[隐藏方案[1, 0, 0] 后续可做0种] | #4 7[隐藏方案[0, 1, 1] 后续可做0种] | #5 7[隐藏方案[0, 2, 0] 后续可做0种] | #6 7[隐藏方案[1, 0, 1] 后续可做0种] | #7 7[隐藏方案[1, 1, 0] 后续可做0种] | #8 7[隐藏方案[2, 0, 0] 后续可做0种]"
1001,2,Train,7,0,速训练,41,#0 518[速训练 失败率0% 属性+65 PT+21] | #1 225[耐训练 失败率0% 属性+24 PT+14] | #2 257[力训练 失败率0% 属性+28 PT+16] | #3 230[根训练 失败率0% 属性+33 PT+14] | #4 271[智训练 失败率0% 属性+20 PT+11] | #5 -154[休息] | #6 -185[普通外出]
1001,3,RamenSelect,3,0,不吃面,56,#0 0[不吃面] | #1 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内] | #2 -inf[禁止吃面：吃完后最优训练位不在该面 at_trains 内]
1001,3,Train,7,0,速训练,21,#0 459[速训练 失败率0% 属性+57 PT+21] | #1 190[耐训练 失败率0% 属性+21 PT+9] | #2 53[力训练 失败率0% 属性+16 PT+7] | #3 192[根训练 失败率0% 属性+27 PT+12] | #4 297[智训练 失败率0% 属性+25 PT+14] | #5 -154[休息] | #6 -185[普通外出]
1001,4,RamenSelect,4,3,吃面/东京-智,78,#0 0[不吃面] | #1 1677[吃面/札幌-速] | #2 1680[吃面/函馆-耐] | #3 1681[吃面/东京-智]
1001,4,SpecialSelect,8,0,吃面/东京-智,17,"#0 15[隐藏方案[0, 0, 0] 后续可做0种] | #1 10[隐藏方案[0, 0, 1] 后续可做0种] | #2 10[隐藏方案[0, 1, 0] 后续可做0种] | #3 10[隐藏方案[1, 0, 0] 后续可做0种] | #4 4[隐藏方案[0, 0, 2] 后续可做0种] | #5 4[隐藏方案[0, 1, 1] 后续可做0种] | #6 4[隐藏方案[1, 0, 1] 后续可做0种] | #7 4[隐藏方案[1, 1, 0] 后续可做0种]"
1001,4,Train,7,0,速训练,39,#0 570[速训练 失败率2% 属性+102 PT+28] | #1 355[耐训练 失败率1% 属性+38 PT+18] | #2 86[力训练 失败率2% 属性+22 PT+9] | #3 87[根训练 失败率4% 属性+27 PT+9] | #4 465[智训练 失败率0% 属性+27 PT+17] | #5 58[休息] | #6 15[普通外出]
