seed,turn,stage,candidates,action_index,action_desc,elapsed_us,score_breakdown
1001,0,Train,7,4,智训练,747,#0 133[速训练 失败率0% 属性+27 PT+8] | #1 62[耐训练 失败率0% 属性+20 PT+7] | #2 56[力训练 失败率0% 属性+18 PT+7] | #3 157[根训练 失败率0% 属性+23 PT+10] | #4 471[智训练 失败率0% 属性+23 PT+19] | #5 -154[休息] | #6 -185[普通外出]
1001,1,Train,7,0,速训练,32,#0 370[速训练 失败率0% 属性+41 PT+19] | #1 62[耐训练 失败率0% 属性+21 PT+7] | #2 246[力训练 失败率0% 属性+32 PT+12] | #3 209[根训练 失败率0% 属性+27 PT+13] | #4 125[智训练 失败率0% 属性+13 PT+7] | #5 -154[休息] | #6 -185[普通外出]
1001,2,RegionSelect,10,2,"地区[札幌-速,函馆-耐,东京-智]",19,"#0 1189[[0, 1, 2]] | #1 1189[[0, 1, 3]] | #2 1534[[0, 1, 4]] | #3 580[[0, 2, 3]] | #4 925[[0, 2, 4]] | #5 925[[0, 3, 4]] | #6 580[[1, 2, 3]] | #7 925[[1, 2, 4]] | #8 925[[1, 3, 4]] | #9 315[[2, 3, 4]]"
1001,2,RamenSelect,4,1,吃面/札幌-速,82,#0 0[不吃面] | #1 1613[吃面/札幌-速] | #2 1613[吃面/函馆-耐] | #3 1610[吃面/东京-智]
1001,2,SpecialSelect,9,0,吃面/札幌-速,25,"#0 18[隐藏方案[0, 0, 0] 后续可做0种] | #1 13[隐藏方案[0, 0, 1] 后续可做0种] | #2 13[隐藏方案[0, 1, 0] 后续可做0种] | #3 13[隐藏方案[1, 0, 0] 后续可做0种] | #4 7[隐藏方案[0, 1, 1] 后续可做0种] | #5 7[隐藏方案[0, 2, 0] 后续可做0种] | #6 7[隐藏方案[1, 0, 1] 后续可做0种] | #7 7[隐藏方案[1, 1, 0] 后续可做0种] | #8 7[隐藏方案[2, 0, 0] 后续可做0种]"
1001,2,Train,7,0,速训练,37,#0 513[速训练 失败率0% 属性+60 PT+21] | #1 231[耐训练 失败率0% 属性+30 PT+14] | #2 226[力训练 失败率0% 属性+29 PT+14] | #3 180[根训练 失败率0% 属性+31 PT+11] | #4 269[智训练 失败率0% 属性+18 PT+11] | #5 -154[休息] | #6 -185[普通外出]
1001,3,RamenSelect,3,2,吃面/东京-智,62,#0 0[不吃面] | #1 1679[吃面/函馆-耐] | #2 1680[吃面/东京-智]
1001,3,SpecialSelect,1,0,吃面/东京-智(替换Ax1+Cx1),3,仅1候选: 吃面/东京-智(替换Ax1+Cx1)
1001,3,Train,7,4,智训练,32,#0 315[速训练 失败率0% 属性+47 PT+16] | #1 381[耐训练 失败率0% 属性+36 PT+17] | #2 74[力训练 失败率0% 属性+21 PT+8] | #3 93[根训练 失败率0% 属性+24 PT+9] | #4 615[智训练 失败率0% 属性+42 PT+25] | #5 -154[休息] | #6 -185[普通外出]
1001,4,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,4,Train,7,0,速训练,26,#0 348[速训练 失败率0% 属性+59 PT+17] | #1 316[耐训练 失败率0% 属性+36 PT+16] | #2 72[力训练 失败率0% 属性+20 PT+8] | #3 75[根训练 失败率0% 属性+23 PT+8] | #4 261[智训练 失败率0% 属性+21 PT+12] | #5 -154[休息] | #6 -185[普通外出]
1001,5,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
1001,5,Train,7,2,力训练,22,#0 72[速训练 失败率0% 属性+33 PT+7] | #1 180[耐训练 失败率0% 属性+29 PT+14] | #2 301[力训练 失败率0% 属性+42 PT+18] | #3 75[根训练 失败率0% 属性+23 PT+8] | #4 262[智训练 失败率0% 属性+22 PT+12] | #5 46[休息] | #6 15[普通外出]
1001,6,RamenSelect,1,0,不吃面,0,仅1候选: 不吃面
